repo,stars,forks,dependencies,dev_dependencies,vulnerable_deps,cves,path_usado
fastify/fastify,34895,2504,15,35,4,"['GHSA-jgrh-5m3h-9c5f', 'GHSA-rrr8-f88r-h8q6', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q']",root
drawdb-io/drawdb,34570,2580,35,13,30,"['GHSA-42xw-2xvc-qx8m', 'GHSA-4hjh-wcwx-xvwj', 'GHSA-4w2v-q235-vp99', 'GHSA-8hc4-vh64-cxmj', 'GHSA-cph5-m8f7-6c5x', 'GHSA-jr5f-v2jv-69x6', 'GHSA-wf5p-g6vw-rhxx', 'GHSA-3xgx-r9j4-qw9w', 'GHSA-cmh5-qc8w-xvcq', 'GHSA-f89g-whpf-6q9m', 'GHSA-3q6f-8grx-pr4v', 'GHSA-57f3-gghm-9mhc', 'GHSA-8mvj-3j78-4qmw', 'GHSA-vh59-v9r5-4mh4', 'GHSA-w532-jxjh-hjhj', 'GHSA-36fh-84j7-cv5h', 'GHSA-jg8v-48h5-wgxg', 'GHSA-29mw-wpgm-hmr9', 'GHSA-35jh-r3h4-6jhm', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm', 'GHSA-jf85-cpcp-j695', 'GHSA-p6mc-m468-83gw', 'GHSA-x5rq-j2xg-h7qm', 'GHSA-3xq5-wjfh-ppjc', 'GHSA-mwcw-c2x4-8c55', 'GHSA-qrpm-p2h7-hrv2', 'GHSA-g53w-52xc-2j85', 'GHSA-hg79-j56m-fxgv', 'GHSA-mvjj-gqq2-p4hw']",root
typicode/husky,34357,1079,0,0,0,[],
zenorocha/clipboard.js,34176,3942,3,25,0,[],root
atlassian/react-beautiful-dnd,34056,2730,7,79,1,['GHSA-968p-4wvh-cqc8'],root
danielmiessler/Fabric,34039,3475,0,0,0,[],
TheAlgorithms/JavaScript,33860,5792,0,0,0,[],
ryanhanwu/How-To-Ask-Questions-The-Smart-Way,33828,5752,0,0,0,[],
qishibo/AnotherRedisDesktopManager,33314,2677,21,59,10,"['GHSA-762f-c2wg-m8c8', 'GHSA-g954-5hwp-pp24', 'GHSA-h755-8qp9-cq85', 'GHSA-5j4c-8p2g-v4jx', 'GHSA-9r9m-ffp6-9x4v', 'GHSA-hjwq-mjwj-4x6c', 'GHSA-p2ph-7g93-hw3m', 'GHSA-x8qp-wqqm-57ph', 'GHSA-2qjp-fg8c-g878', 'GHSA-89fp-f5mx-748x']",root
adobe/brackets,33134,7561,12,30,26,"['GHSA-fwr7-v2mv-hh25', 'GHSA-73v8-v6g4-vrpm', 'GHSA-29mw-wpgm-hmr9', 'GHSA-35jh-r3h4-6jhm', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm', 'GHSA-jf85-cpcp-j695', 'GHSA-p6mc-m468-83gw', 'GHSA-x5rq-j2xg-h7qm', 'GHSA-4328-8hgf-7wjr', 'GHSA-93f3-23rq-pjfp', 'GHSA-hj9c-8jmm-8c52', 'GHSA-m5h6-hr3q-22h5', 'GHSA-m6cx-g6qm-p2cx', 'GHSA-ph34-pc88-72gc', 'GHSA-v3jv-wrf4-5845', 'GHSA-x8qc-rrcw-4r46', 'GHSA-7xfp-9c55-5vqj', 'GHSA-p8p7-x288-28g6', 'GHSA-c2qf-rxjj-qqgw', 'GHSA-x6fg-f45m-jf5q', 'GHSA-2mhh-w6q8-5hxw', 'GHSA-3h5v-q93c-6h6q', 'GHSA-5v72-xg48-5rpm', 'GHSA-6663-c963-2gqg', 'GHSA-6fc8-4gx4-v693']",root
gulpjs/gulp,33048,4204,4,8,0,[],root
gchq/CyberChef,32978,3709,92,55,97,"['GHSA-5fg8-2547-mr8q', 'GHSA-crh6-fp67-6883', 'GHSA-3mgp-fx93-9xv5', 'GHSA-3wqf-4x89-9g79', 'GHSA-4p24-vmcr-4gqj', 'GHSA-7mvr-5x2g-wfc8', 'GHSA-9v3m-8fp8-mj99', 'GHSA-ph58-4vrj-w6hr', 'GHSA-pj7m-g53m-7638', 'GHSA-q58r-hwc8-rm9j', 'GHSA-vxmc-5x29-h64v', 'GHSA-4jwp-vfvf-657p', 'GHSA-8462-q7x7-g2x4', 'GHSA-v8w9-2789-6hhr', 'GHSA-3w3w-pxmm-2w2j', 'GHSA-xwcq-pm8m-c4vf', 'GHSA-h6ch-v84p-w6p9', 'GHSA-63q7-h895-m982', 'GHSA-8hgg-xxm5-3873', 'GHSA-chqj-j4fh-rw7m', 'GHSA-gx9m-whjm-85jf', 'GHSA-mjjq-c88q-qhr6', 'GHSA-mmhx-hmjr-r674', 'GHSA-p3vf-v8qc-cwcr', 'GHSA-vhxf-7vqr-mrjg', 'GHSA-2j2x-2gpw-g8fm', 'GHSA-2cf5-4w76-r9qv', 'GHSA-3cqr-58rm-57f8', 'GHSA-62gr-4qp9-h98f', 'GHSA-765h-qjxv-5f44', 'GHSA-9prh-257w-9277', 'GHSA-f2jv-r9rf-7988', 'GHSA-f52g-6jhx-586p', 'GHSA-g9r4-xpmj-mj65', 'GHSA-q2c6-c6pm-g3gh', 'GHSA-q42p-pg8m-cqh6', 'GHSA-w457-6q6x-cgp9', 'GHSA-7wwv-vh3v-89cq', 'GHSA-vfrc-7r7c-w9mx', 'GHSA-2pqj-h3vj-pqgw', 'GHSA-579v-mp3v-rrw5', 'GHSA-6c3j-c64m-qhgq', 'GHSA-gxr4-xjj5-5px2', 'GHSA-jpcq-cgw6-v4j6', 'GHSA-mhpp-875w-9cpv', 'GHSA-q4m3-2j7h-f7xw', 'GHSA-rmxg-73gg-4p98', 'GHSA-9c47-m6qq-7p4h', 'GHSA-fqg8-vfv7-8fj8', 'GHSA-hw8r-x6gr-5gjp', 'GHSA-pppg-cpfq-h7wr', 'GHSA-8cf7-32gw-wr33', 'GHSA-c7hr-j4mj-j2w6', 'GHSA-hjrf-2m68-5959', 'GHSA-qwph-4952-7xr6', 'GHSA-27fj-mc8w-j9wg', 'GHSA-3fvg-4v2m-98jf', 'GHSA-g753-jx37-7xwh', 'GHSA-h87q-g2wp-47pj', 'GHSA-p8c3-7rj8-q963', 'GHSA-q3gh-5r98-j4h3', 'GHSA-rh63-9qcf-83gf', 'GHSA-xxxq-chmp-67g4', 'GHSA-29mw-wpgm-hmr9', 'GHSA-35jh-r3h4-6jhm', 'GHSA-4xc9-xhrj-v574', 'GHSA-fvqr-27wr-82fm', 'GHSA-jf85-cpcp-j695', 'GHSA-p6mc-m468-83gw', 'GHSA-x5rq-j2xg-h7qm', 'GHSA-6vfc-qv3f-vr6c', 'GHSA-j5p7-jf4q-742q', 'GHSA-446m-mv8f-q348', 'GHSA-87vv-r9j6-g5qv', 'GHSA-8hfj-j24r-96c4', 'GHSA-wc69-rhjr-hc9g', 'GHSA-56x4-j7p9-fcf9', 'GHSA-v78c-4p63-2j6c', 'GHSA-2r2c-g63r-vccr', 'GHSA-5rrq-pxf6-6jx5', 'GHSA-8fr3-hfg3-gpgp', 'GHSA-92xj-mqp7-vmcj', 'GHSA-cfm4-qjh2-4765', 'GHSA-gf8q-jrpm-jvxq', 'GHSA-wxgw-qj99-44c2', 'GHSA-x4jg-mjrx-434g', 'GHSA-6394-6h9h-cfjg', 'GHSA-rmmc-8cqj-hfp3', 'GHSA-762f-c2wg-m8c8', 'GHSA-g954-5hwp-pp24', 'GHSA-h755-8qp9-cq85', 'GHSA-83rx-c8cr-6j8q', 'GHSA-394c-5j6w-4xmx', 'GHSA-662x-fhqg-9p8v', 'GHSA-78cj-fxph-m83p', 'GHSA-fhg7-m89q-25r3', 'GHSA-pjwm-rvh2-c87w']",root
pcottle/learnGitBranching,32670,5913,11,23,32,"['GHSA-j6p2-cx3w-6jcp', 'GHSA-2pqj-h3vj-pqgw', 'GHSA-579v-mp3v-rrw5', 'GHSA-6c3j-c64m-qhgq', 'GHSA-gxr4-xjj5-5px2', 'GHSA-jpcq-cgw6-v4j6', 'GHSA-mhpp-875w-9cpv', 'GHSA-q4m3-2j7h-f7xw', 'GHSA-rmxg-73gg-4p98', 'GHSA-9gj3-hwp5-pmwc', 'GHSA-gpqq-952q-5327', 'GHSA-h6gj-6jjq-h8g9', 'GHSA-hpcf-8vf9-q4gj', 'GHSA-j7qv-pgf6-hvh4', 'GHSA-qqxp-xp9v-vvx6', 'GHSA-wcm2-9c89-wmfm', 'GHSA-4r62-v4vq-hr96', 'GHSA-5v2h-r2cx-5xgj', 'GHSA-7px7-7xjx-hxm8', 'GHSA-9cw2-jqp5-7x39', 'GHSA-cfjh-p3g4-3q2f', 'GHSA-ch52-vgq2-943f', 'GHSA-hjcp-j389-59ff', 'GHSA-p9wx-2529-fp83', 'GHSA-rrrm-qjm4-v8hf', 'GHSA-vfvf-mqq8-rwqc', 'GHSA-x5pg-88wf-qq4p', 'GHSA-xf5p-87ch-gxw2', 'GHSA-g53w-52xc-2j85', 'GHSA-hg79-j56m-fxgv', 'GHSA-mvjj-gqq2-p4hw', 'GHSA-cf4h-3jhx-xvhq']",root
